Location,Player1,Player2,Series,Court,Surface,ActualRankingP1,ActualRankingP2,AvgP1,AvgP2,HeightP1,HandednessP1,NewNameP1,IdP1,PhotoP1,HeightP2,HandednessP2,NewNameP2,IdP2,PhotoP2,P1Winner,PredictP1
Rome,Bautista Agut R.,Paul T.,Masters 1000,Outdoor,Clay,11,57,1.30,3.51,183.0,Right-Handed,Bautista Agut R.,131,https://www.atptour.com/-/media/tennis/players/gladiator/2020/bautista_agut_full_ao20.png?sc=0&hash=8FB62924BCB41FAD3414326608D487E4,185.0,Right-Handed,Paul T.,1311,https://www.atptour.com/-/media/tennis/players/gladiator/2020/paul_full_ao20.png?sc=0&hash=504F55B982D4A5F4DB9FF1FBD4E9A512,1.0,0.73959005
Rome,Davidovich Fokina A.,Dimitrov G.,Masters 1000,Outdoor,Clay,48,17,1.68,2.19,183.0,Right-Handed,Davidovich Fokina A.,398,https://www.atptour.com/-/media/tennis/players/gladiator/2020/davidovich_fokina_full_ao20.png?sc=0&hash=A384DD907081AA802A5C5F30090150CB,191.0,Right-Handed,Dimitrov G.,438,https://www.atptour.com/-/media/tennis/players/gladiator/2020/dimitrov_full_ao20.png?sc=0&hash=910AD5CEF890E9349C663FEFFDF8DA01,1.0,0.589471
Rome,Millman J.,Lajovic D.,Masters 1000,Outdoor,Clay,43,37,2.18,1.69,183.0,Right-Handed,Millman J.,1153,https://www.atptour.com/-/media/tennis/players/gladiator/2020/millman_full_ao20.png?sc=0&hash=84BED3DEB2F1775DD749F49E1A8510C7,183.0,Right-Handed,Lajovic D.,984,https://www.atptour.com/-/media/tennis/players/gladiator/2020/lajovic_full_ao20.png?sc=0&hash=E1E3693DD9044625E9E2FD301C776A3E,1.0,0.4765904
Rome,Carballes Baena R.,Norrie C.,Masters 1000,Outdoor,Clay,91,58,3.01,1.39,183.0,Right-Handed,Carballes Baena R.,284,https://www.atptour.com/-/media/tennis/players/gladiator/2020/carballes_baena_full_ao20.png?sc=0&hash=A15E35BAC9A4F5E613E72C020F35DF02,188.0,Left-Handed,Norrie C.,1262,https://www.atptour.com/-/media/tennis/players/gladiator/2020/norrie_full_ao20.png?sc=0&hash=F026DB7F69D226646AF6F42DF9C2088F,,0.32514602
Rome,Shapovalov D.,Majchrzak K.,Masters 1000,Outdoor,Clay,14,123,1.36,3.16,185.0,Left-Handed,Shapovalov D.,1557,https://www.atptour.com/-/media/tennis/players/gladiator/2020/shapovalov_full_ao20.png?sc=0&hash=BC196B31B47B90FDBB6980AC26312DC3,180.0,Right-Handed,Majchrzak K.,1073,https://www.atptour.com/-/media/tennis/players/gladiator/2020/majchrzak_full_ao20.png?sc=0&hash=60222334765A7A74C707FF241D98A907,1.0,0.72593904
Rome,Sonego L.,Monfils G.,Masters 1000,Outdoor,Clay,32,15,1.24,4.13,191.0,Right-Handed,Sonego L.,1658,https://www.atptour.com/-/media/tennis/players/gladiator/2020/sonego_full_ao20.png?sc=0&hash=68D200DF285B0DB1E9A2033E055BF795,193.0,Right-Handed,Monfils G.,1179,https://www.atptour.com/-/media/tennis/players/gladiator/2020/monfils_full_ao20.png?sc=0&hash=B071027EB57F6AB4E3F0E200D8B7C1C3,,0.8110701
Rome,Berrettini M.,Basilashvili N.,Masters 1000,Outdoor,Clay,10,36,1.30,3.54,196.0,Right-Handed,Berrettini M.,163,https://www.atptour.com/-/media/tennis/players/gladiator/2020/berrettini_full_ao20.png?sc=0&hash=294B28E5799CFF3580280DB00F21003C,185.0,Right-Handed,Basilashvili N.,127,https://www.atptour.com/-/media/tennis/players/gladiator/2020/basilashvili_full_ao20.png?sc=0&hash=008F5D3E903937A7C1302D3B9AB49862,,0.7899996
Rome,Musetti L.,Opelka R.,Masters 1000,Outdoor,Clay,87,45,1.36,3.19,185.0,Right-Handed,Musetti L.,1222,https://www.atptour.com/-/media/tennis/players/gladiator/2021/03/27/02/44/musetti_full_2021.png?sc=0&hash=BFFA8B396FA59F84D84425152F91947C,211.0,Right-Handed,Opelka R.,1289,https://www.atptour.com/-/media/tennis/players/gladiator/2020/opelka_full_ao20.png?sc=0&hash=9BA649EFDD5F44B2789CDE19879EEFAC,,0.7435196
Rome,Djokovic N.,Fritz T.,Masters 1000,Outdoor,Clay,1,30,1.11,6.59,188.0,Right-Handed,Djokovic N.,442,https://www.atptour.com/-/media/tennis/players/gladiator/2019/djokovic_full_ao19.png?sc=0&hash=65F2DF0C7EE5D661253F4F461DD53B3D,193.0,Right-Handed,Fritz T.,558,https://www.atptour.com/-/media/tennis/players/gladiator/2020/fritz_full_ao20.png?sc=0&hash=8B5862BF262C565773423105BE487104,,0.9150456
Rome,Nishikori K.,Carreno Busta P.,Masters 1000,Outdoor,Clay,39,13,1.90,1.91,178.0,Right-Handed,Nishikori K.,1256,https://www.atptour.com/-/media/tennis/players/gladiator/2019/nishikori_full_ao19.png?sc=0&hash=9BE2700C02948383D73D102F945491D1,188.0,Right-Handed,Carreno Busta P.,288,https://www.atptour.com/-/media/tennis/players/gladiator/2020/carreno_busta_full_ao20.png?sc=0&hash=795C26EF5B24C3C37EDBF412B9D238AF,,0.565564
